Progressivo,Nominativo,Data,GruppoPolitico,Presenza,NumVotazioni,PercentualePresenza
33986,ALDROVANDI STEFANO,2012-11-05T00:00:00Z,BOLOGNA 2016,P,8,49
32708,TURCI DANIELA,2012-11-05T00:00:00Z,PARTITO DEMOCRATICO,P,7,43
16863,MEROLA VIRGINIO,2012-12-07T00:00:00Z,SINDACO,A,0,0
9116,CEVENINI MAURIZIO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
9076,MAZZANTI CLAUDIO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
29442,CRITELLI FRANCESCO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
32746,LEMBI SIMONA,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
27189,BARCELO LIZANA LEONARDO L,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
15586,MARCHESINI ANGELO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
18313,LO GIUDICE SERGIO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
9181,SANTI RAFFAELLA,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
32704,LAMA ROSSELLA,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
27410,FERRI MARIARAFFAELLA,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
27481,ZACCHIROLI BENEDETTO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
32794,MIGNANI MARIANNA,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
22034,GHETTI MAURIZIO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
33977,BENASSI MARZIA,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
33978,ERRANI FRANCESCO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
27197,MELEGA CORRADO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
9097,PETRELLA TOMMASO,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,0,0
33979,LA TORRE CATHY,2012-12-07T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0
33980,PIERALISI MIRCO,2012-12-07T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0
26392,CIPRIANI LORENZO,2012-12-07T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,0,0
33987,SAZZINI LORENZO,2012-12-07T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,A,0,0
32714,CAVIANO PASQUALE,2012-12-07T00:00:00Z,ITALIA DEI VALORI,P,1,49
21843,LISEI MARCO,2012-12-07T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
27208,TOMASSINI LORENZO,2012-12-07T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
32712,FACCI MICHELE,2012-12-07T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
27997,CASTALDINI VALENT.,2012-12-07T00:00:00Z,POPOLO DELLA LIBERTA,A,0,0
8904,CARELLA DANIELE,2012-12-07T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
20144,GATTUSO PATRIZIO G.,2012-12-07T00:00:00Z,POPOLO DELLA LIBERTA,P,1,49
32719,BERNARDINI MANES,2012-12-07T00:00:00Z,LEGA NORD,A,0,0
33981,COCCONCELLI MIRKA,2012-12-07T00:00:00Z,LEGA NORD,P,1,49
33982,SCARANO PAOLA F.,2012-12-07T00:00:00Z,LEGA NORD,P,1,49
33983,BORGONZONI LUCIA,2012-12-07T00:00:00Z,LEGA NORD,P,0,0
33984,BUGANI MASSIMO,2012-12-07T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0
32861,SALSI FEDERICA,2012-12-07T00:00:00Z,MOVIMENTO 5 STELLE,P,0,0
33985,PIAZZA MARCO,2012-12-07T00:00:00Z,MOVIMENTO 5 STELLE,P,1,49
33986,ALDROVANDI STEFANO,2012-12-07T00:00:00Z,BOLOGNA 2016,P,1,49
32708,TURCI DANIELA,2012-12-07T00:00:00Z,PARTITO DEMOCRATICO,P,1,49
16863,MEROLA VIRGINIO,2012-10-08T00:00:00Z,SINDACO,P,3,57
9116,CEVENINI MAURIZIO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
9076,MAZZANTI CLAUDIO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
29442,CRITELLI FRANCESCO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
32746,LEMBI SIMONA,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
27189,BARCELO LIZANA LEONARDO L,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
15586,MARCHESINI ANGELO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,3,57
18313,LO GIUDICE SERGIO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
9181,SANTI RAFFAELLA,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
32704,LAMA ROSSELLA,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
27410,FERRI MARIARAFFAELLA,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
27481,ZACCHIROLI BENEDETTO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
32794,MIGNANI MARIANNA,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
22034,GHETTI MAURIZIO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
33977,BENASSI MARZIA,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
33978,ERRANI FRANCESCO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
27197,MELEGA CORRADO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
9097,PETRELLA TOMMASO,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,4,76
33979,LA TORRE CATHY,2012-10-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,3,57
33980,PIERALISI MIRCO,2012-10-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,3,57
26392,CIPRIANI LORENZO,2012-10-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,4,76
33987,SAZZINI LORENZO,2012-10-08T00:00:00Z,CON AMELIA PER BOLOGNA CON VENDOLA,P,4,76
32714,CAVIANO PASQUALE,2012-10-08T00:00:00Z,ITALIA DEI VALORI,P,4,76
21843,LISEI MARCO,2012-10-08T00:00:00Z,POPOLO DELLA LIBERTA,P,4,76
27208,TOMASSINI LORENZO,2012-10-08T00:00:00Z,POPOLO DELLA LIBERTA,P,3,57
32712,FACCI MICHELE,2012-10-08T00:00:00Z,POPOLO DELLA LIBERTA,P,3,57
27997,CASTALDINI VALENT.,2012-10-08T00:00:00Z,POPOLO DELLA LIBERTA,P,4,76
8904,CARELLA DANIELE,2012-10-08T00:00:00Z,POPOLO DELLA LIBERTA,P,4,76
20144,GATTUSO PATRIZIO G.,2012-10-08T00:00:00Z,POPOLO DELLA LIBERTA,P,4,76
32719,BERNARDINI MANES,2012-10-08T00:00:00Z,LEGA NORD,P,3,57
33981,COCCONCELLI MIRKA,2012-10-08T00:00:00Z,LEGA NORD,P,3,57
33982,SCARANO PAOLA F.,2012-10-08T00:00:00Z,LEGA NORD,P,1,19
33983,BORGONZONI LUCIA,2012-10-08T00:00:00Z,LEGA NORD,P,3,57
33984,BUGANI MASSIMO,2012-10-08T00:00:00Z,MOVIMENTO 5 STELLE,P,3,57
32861,SALSI FEDERICA,2012-10-08T00:00:00Z,MOVIMENTO 5 STELLE,P,4,76
33985,PIAZZA MARCO,2012-10-08T00:00:00Z,MOVIMENTO 5 STELLE,P,4,76
33986,ALDROVANDI STEFANO,2012-10-08T00:00:00Z,BOLOGNA 2016,P,4,76
32708,TURCI DANIELA,2012-10-08T00:00:00Z,PARTITO DEMOCRATICO,P,3,57
16863,MEROLA VIRGINIO,2012-11-09T00:00:00Z,SINDACO,A,0,0
9116,CEVENINI MAURIZIO,2012-11-09T00:00:00Z,PARTITO DEMOCRATICO,A,0,0
