"Progressivo";"Nominativo";"Data Seduta";"Gruppo Politico";"Presenza";"Num.Votazioni";"Percentuale presenza alle votazioni";"Note"
"33982";"SCARANO PAOLA F.";"08/02/2013";"LEGA NORD";"P";1;"49 ";
"33983";"BORGONZONI LUCIA";"08/02/2013";"LEGA NORD";"P";1;"49 ";
"33984";"BUGANI MASSIMO";"08/02/2013";"MOVIMENTO 5 STELLE";"P";1;"49 ";
"32861";"SALSI FEDERICA";"08/02/2013";"GRUPPO MISTO";"P";0;"0  ";
"33985";"PIAZZA MARCO";"08/02/2013";"MOVIMENTO 5 STELLE";"P";1;"49 ";
"33986";"ALDROVANDI STEFANO";"08/02/2013";"BOLOGNA 2016";"A";0;"0  ";
"32708";"TURCI DANIELA";"08/02/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"16863";"MEROLA VIRGINIO";"08/03/2013";"SINDACO";"A";0;"0  ";
"9076";"MAZZANTI CLAUDIO";"08/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"29442";"CRITELLI FRANCESCO";"08/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"32746";"LEMBI SIMONA";"08/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27189";"BARCELO' LIZANA LEONARDO L.";"08/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"15586";"MARCHESINI ANGELO";"08/03/2013";"PARTITO DEMOCRATICO";"A";0;"0  ";
"18313";"LO GIUDICE SERGIO";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"9181";"SANTI RAFFAELLA";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"32704";"LAMA ROSSELLA";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27410";"FERRI MARIARAFFAELLA";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"27481";"ZACCHIROLI BENEDETTO";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"32794";"MIGNANI MARIANNA";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"22034";"GHETTI MAURIZIO";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"33977";"BENASSI MARZIA";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"33978";"ERRANI FRANCESCO";"08/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"27197";"MELEGA CORRADO";"08/03/2013";"PARTITO DEMOCRATICO";"P";0;"0  ";
"9097";"PETRELLA TOMMASO";"08/03/2013";"PARTITO DEMOCRATICO";"P";1;"49 ";
"33979";"LA TORRE CATHY";"08/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;"0  ";
"33980";"PIERALISI MIRCO";"08/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;"49 ";
"26392";"CIPRIANI LORENZO";"08/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;"49 ";
"33987";"SAZZINI LORENZO";"08/03/2013";"CON AMELIA PER BOLOGNA CON VENDOLA";"P";1;"49 ";
"32714";"CAVIANO PASQUALE";"08/03/2013";"BOLOGNA RIFORMISTA E DEMOCRATICA";"P";1;"49 ";
"21843";"LISEI MARCO";"08/03/2013";"POPOLO DELLA LIBERTA'";"P";0;"0  ";
"27208";"TOMASSINI LORENZO";"08/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32712";"FACCI MICHELE";"08/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"27997";"CASTALDINI VALENT.";"08/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"8904";"CARELLA DANIELE";"08/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"20144";"GATTUSO PATRIZIO G.";"08/03/2013";"POPOLO DELLA LIBERTA'";"P";1;"49 ";
"32719";"BERNARDINI MANES";"08/03/2013";"LEGA NORD";"P";0;"0  ";
"33981";"COCCONCELLI MIRKA";"08/03/2013";"LEGA NORD";"P";1;"49 ";
"33982";"SCARANO PAOLA F.";"08/03/2013";"LEGA NORD";"P";1;"49 ";
"33983";"BORGONZONI LUCIA";"08/03/2013";"LEGA NORD";"P";0;"0  ";
