Progressivo Consigliere Firmatario;Tipologia Atto;Data Seduta di Consiglio;Oggetto Atto;Num. PG;Anno PG;Data Pubblicazione;Ufficio Proponente;Consigliere Firmatario;Altri Consiglieri Firmatari - Progressivo;Testo
"18313";"OdG";26/02/2013;"ORDINE DEL GIORNO PER CHIEDERE AI FUTURI ELETTI AL PARLAMENTO ITALIANO DI  OPERARE  PER LO SVILUPPO DEL SETTORE DEL TRASPORTO PUBBLICO E PER  LA PIENA RIAFFERMAZIONE DEI DIRITTI DEI LAVORATORI DELLA BREDAMENARINIBUS PRESENTATO DAL CONSIGLIERE LO GIUDICE ED ALTRI DURANTE LA SEDUTA DI COMMISSIONE DEL 14.02.2013.";36254;2013;;"Commissione Mobilità Infrastrutture e Lavori Pubblici";"LO GIUDICE SERGIO";"BUGANI MASSIMO - 33984","CRITELLI FRANCESCO - 29442","LAMA ROSSELLA - 32704","PETRELLA TOMMASO - 9097","PIAZZA MARCO - 33985","PIERALISI MIRCO - 33980","ZACCHIROLI BENEDETTO - 27481";
"33983";"OdG";26/02/2013;"ORDINE DEL GIORNO TESO AD ESPRIMERE PIENA E SENTITA SOLIDARIETA'  AGLI AGENTI DELLE FORZE DELL'ORDINE IMPEGNATI DURANTE IL SERVIZIO DI CONTROLLO DEI TERRITORIO VENERDI' 15 FEBBRAIO 2013 PRESENTATO DAL CONSIGLIERE BORGONZONI E ALTRI IN DATA 18.02.2013.";39619;2013;;"LEGA NORD";"BORGONZONI LUCIA";"BERNARDINI MANES - 32719","CARELLA DANIELE - 8904","COCCONCELLI MIRKA - 33981","FACCI MICHELE - 32712","GATTUSO PATRIZIO GIUSEPPE - 20144","SCARANO PAOLA FRANCESCA - 33982","TOMASSINI LORENZO - 27208";
;"Delibera di Consiglio";04/03/2013;"RIAPERTURA DEI TERMINI DELL'AVVISO PUBBLICO PER L'ELABORAZIONE DEL 'PROGRAMMA PER LA QUALIFICAZIONE URBANA' PER LE AREE RICOMPRESE IN AMBITI IN VIA DI CONSOLIDAMENTO DI CUI ALL'ARTICOLO 66 COMMA 1 DEL RUE";16790;2013;06/03/2013;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/DFBEF79E9C277909C1257AFB005271B0?OpenDocument"
;"Delibera di Consiglio";04/03/2013;"MODIFICA DELLO STATUTO COMUNALE IN ATTUAZIONE DELLA LEGGE N. 215/2012.";49100;2013;06/03/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/3EC4A761D1EA53B6C1257B1F00400C68?OpenDocument"
;"Delibera di Consiglio";11/03/2013;"INTEGRAZIONE DEL REGOLAMENTO PER LA GESTIONE E L'USO DEGLI IMPIANTI SPORTIVI DI QUARTIERE. O.D.G. 181/2005 APPROVATO CON DELIBERAZIONE P.G. 188051/2005.";21918;2013;13/03/2013;"Salute Sport e Città Sana";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/BF3AA034735EFFB4C1257B040044B135?OpenDocument"
;"Delibera di Consiglio";11/03/2013;"APPROVAZIONE  CONVENZIONE TRA IL COMUNE DI BOLOGNA ED IL COMUNE DI CASTEL MAGGIORE (BO) PER LA CONCESSIONE DI N. 9 ALLOGGI  DI PROPRIETA' DEL COMUNE DI BOLOGNA, DA ASSEGNARE A NUCLEI FAMILIARI  COLPITI DAL SISMA DEL 20/29 MAGGIO 2012";37224;2013;13/03/2013;"Servizi per l'abitare";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/B5272B8966940271C1257B05002ECFE3?OpenDocument"
;"Delibera di Consiglio";11/03/2013;"CONFERIMENTO DELLA CITTADINANZA ONORARIA A KLAUS FLÜGGE E BIANCA PITZORNO.";53654;2013;13/03/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/565704DD97352C9DC1257B25003579EF?OpenDocument"
"33978";"OdG";18/03/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA A FAVORIRE L'INTEGRAZIONE TRA POLITICHE ATTIVE DEL LAVORO E SERVIZI DI WELFARE, PRESENTATO DAL CONSIGLIERE ERRANI IN DATA 01 OTTOBRE 2012 E SUCCESSIVAMENTE SOTTOSCRITTO DA ALTRI CONSIGLIERI IN DATA 18.10.2012.";232909;2012;;"PARTITO DEMOCRATICO";"ERRANI FRANCESCO";;
"33978";"OdG";18/03/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA A PUBBLICIZZARE UN CONCORSO DI IDEE FINALIZZATO ALLA REALIZZAZIONE DI UN MARCHIO TERRITORIALE DELLA CITTA' DI BOLOGNA, PRESENTATO DAL CONSIGLIERE ERRANI IN DATA 24.10.2012 E SUCCESSIVAMENTE SOTTOSCRITTO DA ALTRI CONSIGLIERI IN DATA 15.11.2012.";256436;2012;;"PARTITO DEMOCRATICO";"ERRANI FRANCESCO";;
;"Delibera di Consiglio";18/03/2013;"INDIRIZZI RELATIVI ALLA PROROGA DEI TERMINI DI ATTUAZIONE DEI PIANI PARTICOLAREGGIATI DI CUI AL PREVIGENTE PRG'85, CONFERMATI DAGLI STRUMENTI URBANISTICI ATTUALMENTE IN VIGORE (PSC E POC)";41867;2013;20/03/2013;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/418E1C3CB51A7569C1257B130035A1A4?OpenDocument"
;"Delibera di Consiglio";18/03/2013;"ELEZIONE DEL PRESIDENTE DELLA COMMISSIONE CONSILIARE 'MOBILITA',  INFRASTUTTURE, LAVORI PUBBLICI'";59722;2013;20/03/2013;"Staff del Consiglio Comunale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/A18708386ECBDE89C1257B2C0040ED97?OpenDocument"
;"Delibera di Consiglio";18/03/2013;"SURROGA DI CONSIGLIERE DIMISSIONARIO. MODIFICAZIONE DELLA COMPOSIZIONE DELLE COMMISSIONI CONSILIARI.";60375;2013;20/03/2013;"Segreteria Generale";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/4FFE23BCA7109B09C1257B2D00324574?OpenDocument"
"21843";"OdG";25/03/2013;"ORDINE DEL GIORNO PER INVITARE IL SINDACO E LA GIUNTA A VALUTARE L'INTRODUZIONE DI SOLUZIONI CHE CONSENTANO AI CITTADINI DISABILI DI ACCEDERE ALLA 'T' IL SABATO E LA DOMENICA CON MEZZI 'AL LORO SERVIZIO', PRESENTATO DAL CONSIGLIERE LISEI IN DATA 21/5/2012";123264;2012;;"POPOLO DELLA LIBERTA'";"LISEI MARCO";;
;"Delibera di Consiglio";25/03/2013;"ISTITUZIONE DELLA  COMMISSIONE MENSA CITTADINA E DELLA COMMISSIONE MENSA DI SCUOLA, DEFINIZIONE DEI CRITERI DI COMPOSIZIONE, DELLE FUNZIONI E DELLE MODALITA' DI FUNZIONAMENTO.";31826;2013;27/03/2013;"Istruzione";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/4CB4CA0784307F33C1257B0200319487?OpenDocument"
"15586";"OdG";25/03/2013;"ORDINE DEL GIORNO PER INVITARE RETE FERROVIARIA ITALIANA AL RISANAMENTO ACUSTICO FERROVIARIO IN CORRISPONDENZA DI VIA SPARTACO E VIA GUELFA PRESENTATO DAI CONSIGLIERI A. MARCHESINI ED ALTRI IL 14 FEBBRAIO 2013.";39575;2013;;"PARTITO DEMOCRATICO";"MARCHESINI ANGELO";"GHETTI MAURIZIO - 22034","MAZZANTI CLAUDIO - 9076";
;"Delibera di Consiglio";25/03/2013;"VARIANTE GRAFICA AL VIGENTE REGOLAMENTO URBANISTICO EDILIZIO (RUE), AI SENSI DELL'ART. 33 DELLA L.R.  N. 20/2000 E S.M. E I. ADOZIONE.";45519;2013;27/03/2013;"Urbanistica - Edilizia";;;"http://atti.comune.bologna.it/atti/delibere.nsf/0/8A0A346CD679B422C1257B1D002EDEC8?OpenDocument"
"27481";"OdG";25/03/2013;"ORDINE DEL GIORNO PER SOSTENERE L'AZIONE DEL SINDACO IN MATERIA DI GIUSTIZIA ECONOMICA, PRESENTATO DAL CONSIGLIERE ZACCHIROLI E ALTRI NELLA SEDUTA DEL 25 MARZO 2013 E APPROVATO NEL CORSO DELLA SEDUTA STESSA";70582;2013;;"Segreteria Generale";"ZACCHIROLI BENEDETTO";"BUGANI MASSIMO - 33984","CIPRIANI LORENZO - 26392","CRITELLI FRANCESCO - 29442","LEMBI SIMONA - 32746","PIAZZA MARCO - 33985","PIERALISI MIRCO - 33980","SAZZINI LORENZO - 33987";
