Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
"27410";"FERRI MARIARAFFAELLA";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"27481";"ZACCHIROLI BENEDETTO";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"32794";"MIGNANI MARIANNA";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"22034";"GHETTI MAURIZIO";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"33977";"BENASSI MARZIA";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"33978";"ERRANI FRANCESCO";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"27197";"MELEGA CORRADO";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"9097";"PETRELLA TOMMASO";04/07/2011;"PARTITO DEMOCRATICO";"P";9;81 
"33979";"LA TORRE CATHY";04/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";8;72 
"33980";"PIERALISI MIRCO";04/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"26392";"CIPRIANI LORENZO";04/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";9;81 
"33987";"SAZZINI LORENZO";04/07/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";7;63 
"32714";"CAVIANO PASQUALE";04/07/2011;"ITALIA DEI VALORI";"P";5;45 
"21843";"LISEI MARCO";04/07/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"27208";"TOMASSINI LORENZO";04/07/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"32712";"FACCI MICHELE";04/07/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"27997";"CASTALDINI VALENT.";04/07/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"8904";"CARELLA DANIELE";04/07/2011;"POPOLO DELLA LIBERTA'";"P";9;81 
"20144";"GATTUSO PATRIZIO G.";04/07/2011;"POPOLO DELLA LIBERTA'";"P";7;63 
"32719";"BERNARDINI MANES";04/07/2011;"LEGA NORD";"A";0;0  
"33981";"COCCONCELLI MIRKA";04/07/2011;"LEGA NORD";"P";9;81 
"33982";"SCARANO PAOLA F.";04/07/2011;"LEGA NORD";"P";9;81 
"33983";"BORGONZONI LUCIA";04/07/2011;"LEGA NORD";"P";8;72 
"33984";"BUGANI MASSIMO";04/07/2011;"MOVIMENTO 5 STELLE";"P";9;81 
"32861";"SALSI FEDERICA";04/07/2011;"MOVIMENTO 5 STELLE";"P";9;81 
"33985";"PIAZZA MARCO";04/07/2011;"MOVIMENTO 5 STELLE";"P";9;81 
"33986";"ALDROVANDI STEFANO";04/07/2011;"BOLOGNA 2016";"A";0;0  
"16863";"MEROLA VIRGINIO";04/11/2011;"SINDACO";"P";0;0  
"9116";"CEVENINI MAURIZIO";04/11/2011;"PARTITO DEMOCRATICO";"P";0;0  
"9076";"MAZZANTI CLAUDIO";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"29442";"CRITELLI FRANCESCO";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32746";"LEMBI SIMONA";04/11/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27189";"BARCELO' LIZANA LEONARDO L.";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"15586";"MARCHESINI ANGELO";04/11/2011;"PARTITO DEMOCRATICO";"P";0;0  
"18313";"LO GIUDICE SERGIO";04/11/2011;"PARTITO DEMOCRATICO";"P";0;0  
"9181";"SANTI RAFFAELLA";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32704";"LAMA ROSSELLA";04/11/2011;"PARTITO DEMOCRATICO";"P";0;0  
"27410";"FERRI MARIARAFFAELLA";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"27481";"ZACCHIROLI BENEDETTO";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"32794";"MIGNANI MARIANNA";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"22034";"GHETTI MAURIZIO";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"33977";"BENASSI MARZIA";04/11/2011;"PARTITO DEMOCRATICO";"P";0;0  
"33978";"ERRANI FRANCESCO";04/11/2011;"PARTITO DEMOCRATICO";"A";0;0  
"27197";"MELEGA CORRADO";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"9097";"PETRELLA TOMMASO";04/11/2011;"PARTITO DEMOCRATICO";"P";1;49 
"33979";"LA TORRE CATHY";04/11/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33980";"PIERALISI MIRCO";04/11/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"26392";"CIPRIANI LORENZO";04/11/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"P";0;0  
"33987";"SAZZINI LORENZO";04/11/2011;"CON AMELIA PER BOLOGNA CON VENDOLA";"A";0;0  
"32714";"CAVIANO PASQUALE";04/11/2011;"ITALIA DEI VALORI";"P";1;49 
"21843";"LISEI MARCO";04/11/2011;"POPOLO DELLA LIBERTA'";"P";0;0  
"27208";"TOMASSINI LORENZO";04/11/2011;"POPOLO DELLA LIBERTA'";"P";0;0  
"32712";"FACCI MICHELE";04/11/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"27997";"CASTALDINI VALENT.";04/11/2011;"POPOLO DELLA LIBERTA'";"P";0;0  
"8904";"CARELLA DANIELE";04/11/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"20144";"GATTUSO PATRIZIO G.";04/11/2011;"POPOLO DELLA LIBERTA'";"P";1;49 
"32719";"BERNARDINI MANES";04/11/2011;"LEGA NORD";"P";0;0  
"33981";"COCCONCELLI MIRKA";04/11/2011;"LEGA NORD";"P";1;49 
"33982";"SCARANO PAOLA F.";04/11/2011;"LEGA NORD";"P";1;49 
"33983";"BORGONZONI LUCIA";04/11/2011;"LEGA NORD";"P";1;49 
"33984";"BUGANI MASSIMO";04/11/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"32861";"SALSI FEDERICA";04/11/2011;"MOVIMENTO 5 STELLE";"P";0;0  
"33985";"PIAZZA MARCO";04/11/2011;"MOVIMENTO 5 STELLE";"P";1;49 
"33986";"ALDROVANDI STEFANO";04/11/2011;"BOLOGNA 2016";"P";1;49 
"16863";"MEROLA VIRGINIO";05/12/2011;"SINDACO";"P";3;27 
