Progressivo;Nominativo;Data Seduta;Gruppo Politico;Presenza;Num.Votazioni;Percentuale presenza alle votazioni
33982;SCARANO PAOLA F.;07/12/2012;LEGA NORD;P;1;49
33983;BORGONZONI LUCIA;07/12/2012;LEGA NORD;P;0;0
33984;BUGANI MASSIMO;07/12/2012;MOVIMENTO 5 STELLE;P;0;0
32861;SALSI FEDERICA;07/12/2012;MOVIMENTO 5 STELLE;P;0;0
33985;PIAZZA MARCO;07/12/2012;MOVIMENTO 5 STELLE;P;1;49
33986;ALDROVANDI STEFANO;07/12/2012;BOLOGNA 2016;P;1;49
32708;TURCI DANIELA;07/12/2012;PARTITO DEMOCRATICO;P;1;49
16863;MEROLA VIRGINIO;08/10/2012;SINDACO;P;3;57
9116;CEVENINI MAURIZIO;08/10/2012;PARTITO DEMOCRATICO;A;0;0
9076;MAZZANTI CLAUDIO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
29442;CRITELLI FRANCESCO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
32746;LEMBI SIMONA;08/10/2012;PARTITO DEMOCRATICO;P;4;76
27189;'BARCELO'' LIZANA LEONARDO L.';08/10/2012;PARTITO DEMOCRATICO;P;4;76
15586;MARCHESINI ANGELO;08/10/2012;PARTITO DEMOCRATICO;P;3;57
18313;LO GIUDICE SERGIO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
9181;SANTI RAFFAELLA;08/10/2012;PARTITO DEMOCRATICO;P;4;76
32704;LAMA ROSSELLA;08/10/2012;PARTITO DEMOCRATICO;P;4;76
27410;FERRI MARIARAFFAELLA;08/10/2012;PARTITO DEMOCRATICO;P;4;76
27481;ZACCHIROLI BENEDETTO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
32794;MIGNANI MARIANNA;08/10/2012;PARTITO DEMOCRATICO;P;4;76
22034;GHETTI MAURIZIO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
33977;BENASSI MARZIA;08/10/2012;PARTITO DEMOCRATICO;P;4;76
33978;ERRANI FRANCESCO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
27197;MELEGA CORRADO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
9097;PETRELLA TOMMASO;08/10/2012;PARTITO DEMOCRATICO;P;4;76
33979;LA TORRE CATHY;08/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;3;57
33980;PIERALISI MIRCO;08/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;3;57
26392;CIPRIANI LORENZO;08/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;4;76
33987;SAZZINI LORENZO;08/10/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;4;76
32714;CAVIANO PASQUALE;08/10/2012;ITALIA DEI VALORI;P;4;76
21843;LISEI MARCO;08/10/2012;'POPOLO DELLA LIBERTA''';P;4;76
27208;TOMASSINI LORENZO;08/10/2012;'POPOLO DELLA LIBERTA''';P;3;57
32712;FACCI MICHELE;08/10/2012;'POPOLO DELLA LIBERTA''';P;3;57
27997;CASTALDINI VALENT.;08/10/2012;'POPOLO DELLA LIBERTA''';P;4;76
8904;CARELLA DANIELE;08/10/2012;'POPOLO DELLA LIBERTA''';P;4;76
20144;GATTUSO PATRIZIO G.;08/10/2012;'POPOLO DELLA LIBERTA''';P;4;76
32719;BERNARDINI MANES;08/10/2012;LEGA NORD;P;3;57
33981;COCCONCELLI MIRKA;08/10/2012;LEGA NORD;P;3;57
33982;SCARANO PAOLA F.;08/10/2012;LEGA NORD;P;1;19
33983;BORGONZONI LUCIA;08/10/2012;LEGA NORD;P;3;57
33984;BUGANI MASSIMO;08/10/2012;MOVIMENTO 5 STELLE;P;3;57
32861;SALSI FEDERICA;08/10/2012;MOVIMENTO 5 STELLE;P;4;76
33985;PIAZZA MARCO;08/10/2012;MOVIMENTO 5 STELLE;P;4;76
33986;ALDROVANDI STEFANO;08/10/2012;BOLOGNA 2016;P;4;76
32708;TURCI DANIELA;08/10/2012;PARTITO DEMOCRATICO;P;3;57
16863;MEROLA VIRGINIO;09/11/2012;SINDACO;A;0;0
9116;CEVENINI MAURIZIO;09/11/2012;PARTITO DEMOCRATICO;A;0;0
9076;MAZZANTI CLAUDIO;09/11/2012;PARTITO DEMOCRATICO;P;1;49
29442;CRITELLI FRANCESCO;09/11/2012;PARTITO DEMOCRATICO;P;1;49
32746;LEMBI SIMONA;09/11/2012;PARTITO DEMOCRATICO;P;1;49
27189;'BARCELO'' LIZANA LEONARDO L.';09/11/2012;PARTITO DEMOCRATICO;P;1;49
15586;MARCHESINI ANGELO;09/11/2012;PARTITO DEMOCRATICO;P;1;49
18313;LO GIUDICE SERGIO;09/11/2012;PARTITO DEMOCRATICO;P;0;0
9181;SANTI RAFFAELLA;09/11/2012;PARTITO DEMOCRATICO;P;1;49
32704;LAMA ROSSELLA;09/11/2012;PARTITO DEMOCRATICO;P;1;49
27410;FERRI MARIARAFFAELLA;09/11/2012;PARTITO DEMOCRATICO;P;1;49
27481;ZACCHIROLI BENEDETTO;09/11/2012;PARTITO DEMOCRATICO;P;1;49
32794;MIGNANI MARIANNA;09/11/2012;PARTITO DEMOCRATICO;P;0;0
22034;GHETTI MAURIZIO;09/11/2012;PARTITO DEMOCRATICO;P;1;49
33977;BENASSI MARZIA;09/11/2012;PARTITO DEMOCRATICO;A;0;0
33978;ERRANI FRANCESCO;09/11/2012;PARTITO DEMOCRATICO;P;1;49
27197;MELEGA CORRADO;09/11/2012;PARTITO DEMOCRATICO;A;0;0
9097;PETRELLA TOMMASO;09/11/2012;PARTITO DEMOCRATICO;P;1;49
33979;LA TORRE CATHY;09/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
33980;PIERALISI MIRCO;09/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
26392;CIPRIANI LORENZO;09/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
33987;SAZZINI LORENZO;09/11/2012;CON AMELIA PER BOLOGNA CON VENDOLA;P;0;0
