Progressivo,Data,Presenza,Votazioni,Percentuale
9097,2013-09-20,P,1,49
33979,2013-09-20,P,0,0
33980,2013-09-20,P,1,49
26392,2013-09-20,P,0,0
33987,2013-09-20,P,1,49
32714,2013-09-20,P,1,49
21843,2013-09-20,P,0,0
27208,2013-09-20,P,1,49
32712,2013-09-20,P,1,49
27997,2013-09-20,P,0,0
8904,2013-09-20,P,1,49
20144,2013-09-20,P,1,49
32719,2013-09-20,P,1,49
33981,2013-09-20,A,0,0
33982,2013-09-20,A,0,0
33983,2013-09-20,A,0,0
33984,2013-09-20,A,0,0
32861,2013-09-20,P,0,0
33985,2013-09-20,P,1,49
33986,2013-09-20,P,0,0
32708,2013-09-20,P,0,0
0,2013-09-20,P,1,49
16863,2013-07-22,P,2,23
9076,2013-07-22,P,6,69
29442,2013-07-22,P,7,80
32746,2013-07-22,P,7,80
27189,2013-07-22,P,6,69
15586,2013-07-22,P,3,34
9181,2013-07-22,P,2,23
32704,2013-07-22,A,0,0
27410,2013-07-22,P,7,80
27481,2013-07-22,P,6,69
32794,2013-07-22,P,7,80
22034,2013-07-22,P,7,80
33977,2013-07-22,A,0,0
33978,2013-07-22,P,7,80
27197,2013-07-22,P,7,80
9097,2013-07-22,P,7,80
33979,2013-07-22,P,7,80
33980,2013-07-22,P,5,57
26392,2013-07-22,P,7,80
33987,2013-07-22,P,1,11
32714,2013-07-22,P,7,80
21843,2013-07-22,P,7,80
27208,2013-07-22,P,7,80
32712,2013-07-22,P,5,57
27997,2013-07-22,P,7,80
8904,2013-07-22,P,7,80
20144,2013-07-22,P,4,46
32719,2013-07-22,P,6,69
33981,2013-07-22,P,6,69
33982,2013-07-22,P,6,69
33983,2013-07-22,P,6,69
33984,2013-07-22,P,6,69
32861,2013-07-22,P,6,69
33985,2013-07-22,P,6,69
33986,2013-07-22,A,0,0
32708,2013-07-22,P,3,34
0,2013-07-22,P,7,80
16863,2013-09-23,A,0,0
9076,2013-09-23,P,12,80
29442,2013-09-23,P,12,80
32746,2013-09-23,P,10,66
27189,2013-09-23,A,0,0
15586,2013-09-23,P,5,33
9181,2013-09-23,A,0,0
32704,2013-09-23,P,12,80
27410,2013-09-23,P,11,73
27481,2013-09-23,P,5,33
32794,2013-09-23,P,11,73
22034,2013-09-23,P,11,73
33977,2013-09-23,P,11,73
33978,2013-09-23,P,12,80
27197,2013-09-23,P,9,60
9097,2013-09-23,P,10,66
33979,2013-09-23,P,4,26
33980,2013-09-23,P,11,73
26392,2013-09-23,P,6,40
33987,2013-09-23,P,6,40
32714,2013-09-23,P,11,73
21843,2013-09-23,P,9,60
27208,2013-09-23,P,12,80
32712,2013-09-23,P,10,66
27997,2013-09-23,P,9,60
8904,2013-09-23,P,12,80
20144,2013-09-23,P,8,53
32719,2013-09-23,P,5,33
33981,2013-09-23,P,11,73
33982,2013-09-23,P,11,73
33983,2013-09-23,P,9,60
33984,2013-09-23,P,11,73
32861,2013-09-23,P,8,53
33985,2013-09-23,P,11,73
33986,2013-09-23,P,12,80
32708,2013-09-23,P,6,40
0,2013-09-23,P,12,80
16863,2013-07-26,A,0,0
9076,2013-07-26,P,0,0
29442,2013-07-26,P,1,49
32746,2013-07-26,P,1,49
27189,2013-07-26,P,1,49
15586,2013-07-26,P,0,0
9181,2013-07-26,P,0,0
32704,2013-07-26,A,0,0
27410,2013-07-26,P,1,49
27481,2013-07-26,P,1,49
32794,2013-07-26,P,1,49
22034,2013-07-26,P,0,0
33977,2013-07-26,P,1,49
33978,2013-07-26,P,1,49
27197,2013-07-26,P,0,0
9097,2013-07-26,P,1,49
33979,2013-07-26,P,0,0
33980,2013-07-26,P,1,49
26392,2013-07-26,P,1,49
33987,2013-07-26,P,0,0
32714,2013-07-26,A,0,0
21843,2013-07-26,P,0,0
27208,2013-07-26,P,0,0
32712,2013-07-26,P,1,49
27997,2013-07-26,P,1,49
8904,2013-07-26,P,1,49
20144,2013-07-26,P,1,49
32719,2013-07-26,A,0,0
33981,2013-07-26,P,0,0
33982,2013-07-26,P,1,49
33983,2013-07-26,P,1,49
33984,2013-07-26,P,0,0
32861,2013-07-26,P,1,49
33985,2013-07-26,P,0,0
33986,2013-07-26,A,0,0
32708,2013-07-26,A,0,0
0,2013-07-26,P,1,49
16863,2013-09-27,A,0,0
9076,2013-09-27,P,0,0
29442,2013-09-27,P,1,49
32746,2013-09-27,P,1,49
27189,2013-09-27,A,0,0
15586,2013-09-27,P,0,0
9181,2013-09-27,A,0,0
32704,2013-09-27,P,0,0
27410,2013-09-27,P,0,0
27481,2013-09-27,P,0,0
32794,2013-09-27,P,1,49
22034,2013-09-27,P,1,49
33977,2013-09-27,P,1,49
33978,2013-09-27,P,0,0
27197,2013-09-27,P,0,0
9097,2013-09-27,P,1,49
33979,2013-09-27,P,1,49
33980,2013-09-27,P,1,49
26392,2013-09-27,P,1,49
33987,2013-09-27,P,0,0
32714,2013-09-27,P,1,49
21843,2013-09-27,P,1,49
27208,2013-09-27,P,0,0
32712,2013-09-27,P,1,49
27997,2013-09-27,P,1,49
8904,2013-09-27,P,1,49
20144,2013-09-27,P,1,49
32719,2013-09-27,P,1,49
33981,2013-09-27,P,1,49
33982,2013-09-27,P,1,49
33983,2013-09-27,P,0,0
33984,2013-09-27,P,0,0
32861,2013-09-27,P,1,49
33985,2013-09-27,P,1,49
33986,2013-09-27,A,0,0
32708,2013-09-27,A,0,0
0,2013-09-27,P,0,0
16863,2013-07-29,P,15,45
9076,2013-07-29,P,24,72
29442,2013-07-29,P,24,72
32746,2013-07-29,P,23,69
27189,2013-07-29,P,23,69
15586,2013-07-29,P,23,69
9181,2013-07-29,P,24,72
32704,2013-07-29,P,23,69
27410,2013-07-29,P,23,69
27481,2013-07-29,P,23,69
32794,2013-07-29,P,24,72
22034,2013-07-29,P,23,69
33977,2013-07-29,P,24,72
33978,2013-07-29,P,24,72
27197,2013-07-29,P,24,72
9097,2013-07-29,P,23,69
33979,2013-07-29,P,21,63
33980,2013-07-29,P,22,66
26392,2013-07-29,P,24,72
33987,2013-07-29,P,15,45
32714,2013-07-29,P,24,72
21843,2013-07-29,P,21,63
27208,2013-07-29,P,24,72
32712,2013-07-29,P,24,72
27997,2013-07-29,P,14,42
8904,2013-07-29,P,24,72
20144,2013-07-29,P,24,72
32719,2013-07-29,A,0,0
33981,2013-07-29,P,24,72
33982,2013-07-29,P,24,72
33983,2013-07-29,P,18,54
33984,2013-07-29,P,23,69
32861,2013-07-29,P,23,69
33985,2013-07-29,P,1,3
33986,2013-07-29,A,0,0
32708,2013-07-29,P,22,66
0,2013-07-29,P,20,60
16863,2013-09-30,P,2,9
9076,2013-09-30,P,15,73
29442,2013-09-30,P,16,78
32746,2013-09-30,P,16,78
27189,2013-09-30,P,15,73
15586,2013-09-30,P,8,39
9181,2013-09-30,A,0,0
32704,2013-09-30,P,12,58
27410,2013-09-30,P,16,78
27481,2013-09-30,P,15,73
32794,2013-09-30,P,16,78
22034,2013-09-30,P,14,68
33977,2013-09-30,P,16,78
33978,2013-09-30,P,11,53
27197,2013-09-30,P,16,78
9097,2013-09-30,P,11,53
33979,2013-09-30,P,10,48
33980,2013-09-30,P,14,68
26392,2013-09-30,P,12,58
33987,2013-09-30,P,12,58
32714,2013-09-30,P,15,73
21843,2013-09-30,P,15,73
27208,2013-09-30,P,16,78
32712,2013-09-30,P,16,78
27997,2013-09-30,P,15,73
8904,2013-09-30,P,16,78
20144,2013-09-30,P,8,39
32719,2013-09-30,P,13,63
33981,2013-09-30,P,16,78
33982,2013-09-30,P,16,78
33983,2013-09-30,P,11,53
33984,2013-09-30,P,16,78
32861,2013-09-30,P,15,73
33985,2013-09-30,P,11,53
33986,2013-09-30,P,9,43
32708,2013-09-30,P,11,53
0,2013-09-30,P,16,78
16863,2013-07-31,A,0,0
9076,2013-07-31,P,15,73
29442,2013-07-31,P,15,73
32746,2013-07-31,P,15,73
27189,2013-07-31,A,0,0
15586,2013-07-31,P,14,68
9181,2013-07-31,P,15,73
32704,2013-07-31,P,13,63
27410,2013-07-31,P,14,68
27481,2013-07-31,P,13,63
32794,2013-07-31,P,15,73
22034,2013-07-31,P,15,73
33977,2013-07-31,P,16,78
33978,2013-07-31,P,14,68
27197,2013-07-31,P,15,73
9097,2013-07-31,P,15,73
33979,2013-07-31,A,0,0
33980,2013-07-31,P,12,58
26392,2013-07-31,P,15,73
33987,2013-07-31,P,15,73
32714,2013-07-31,P,16,78
21843,2013-07-31,P,15,73
27208,2013-07-31,P,15,73
32712,2013-07-31,P,15,73
27997,2013-07-31,P,15,73
8904,2013-07-31,P,16,78
20144,2013-07-31,P,15,73
32719,2013-07-31,A,0,0
33981,2013-07-31,P,15,73
33982,2013-07-31,P,16,78
33983,2013-07-31,P,14,68
33984,2013-07-31,P,15,73
32861,2013-07-31,A,0,0
33985,2013-07-31,P,16,78
33986,2013-07-31,A,0,0
32708,2013-07-31,P,0,0
0,2013-07-31,P,16,78
16863,2013-04-03,P,0,0
9076,2013-04-03,P,9,72
29442,2013-04-03,P,10,80
32746,2013-04-03,P,9,72
27189,2013-04-03,P,9,72
15586,2013-04-03,P,8,64
9181,2013-04-03,P,8,64
32704,2013-04-03,P,9,72
27410,2013-04-03,P,10,80
27481,2013-04-03,P,9,72
32794,2013-04-03,P,10,80
22034,2013-04-03,P,10,80
33977,2013-04-03,P,9,72
33978,2013-04-03,A,0,0
27197,2013-04-03,P,10,80
9097,2013-04-03,P,10,80
33979,2013-04-03,P,8,64
33980,2013-04-03,P,10,80
26392,2013-04-03,P,9,72
33987,2013-04-03,P,1,8
32714,2013-04-03,P,10,80
21843,2013-04-03,P,10,80
27208,2013-04-03,P,10,80
32712,2013-04-03,P,10,80
27997,2013-04-03,P,10,80
8904,2013-04-03,P,10,80
20144,2013-04-03,P,8,64
32719,2013-04-03,P,6,48
33981,2013-04-03,P,6,48
33982,2013-04-03,P,7,56
33983,2013-04-03,P,7,56
33984,2013-04-03,P,9,72
32861,2013-04-03,P,7,56
33985,2013-04-03,P,6,48
33986,2013-04-03,P,1,8
32708,2013-04-03,P,6,48
0,2013-04-03,A,0,0
16863,2013-05-03,A,0,0
9076,2013-05-03,P,0,0
29442,2013-05-03,P,1,49
32746,2013-05-03,P,1,49
27189,2013-05-03,A,0,0
15586,2013-05-03,P,0,0
9181,2013-05-03,P,1,49
32704,2013-05-03,A,0,0
27410,2013-05-03,P,0,0
27481,2013-05-03,P,0,0
32794,2013-05-03,P,1,49
22034,2013-05-03,P,1,49
33977,2013-05-03,P,1,49
33978,2013-05-03,A,0,0
27197,2013-05-03,P,1,49
9097,2013-05-03,P,1,49
33979,2013-05-03,P,0,0
33980,2013-05-03,P,1,49
26392,2013-05-03,P,1,49
33987,2013-05-03,P,0,0
32714,2013-05-03,P,1,49
21843,2013-05-03,P,0,0
27208,2013-05-03,P,1,49
32712,2013-05-03,P,1,49
27997,2013-05-03,P,1,49
8904,2013-05-03,P,1,49
20144,2013-05-03,P,1,49
32719,2013-05-03,P,1,49
33981,2013-05-03,P,1,49
33982,2013-05-03,P,1,49
33983,2013-05-03,P,1,49
33984,2013-05-03,P,0,0
32861,2013-05-03,P,1,49
33985,2013-05-03,A,0,0
33986,2013-05-03,P,1,49
32708,2013-05-03,P,0,0
0,2013-05-03,P,1,49
16863,2013-06-03,P,0,0
9076,2013-06-03,P,10,80
29442,2013-06-03,P,10,80
32746,2013-06-03,P,9,72
27189,2013-06-03,P,10,80
15586,2013-06-03,P,9,72
9181,2013-06-03,P,8,64
32704,2013-06-03,P,9,72
27410,2013-06-03,P,9,72
27481,2013-06-03,P,9,72
32794,2013-06-03,P,10,80
22034,2013-06-03,P,10,80
33977,2013-06-03,P,10,80
33978,2013-06-03,P,10,80
27197,2013-06-03,P,10,80
9097,2013-06-03,P,10,80
33979,2013-06-03,P,10,80
33980,2013-06-03,P,10,80
26392,2013-06-03,A,0,0
33987,2013-06-03,P,1,8
32714,2013-06-03,P,10,80
21843,2013-06-03,P,5,40
27208,2013-06-03,P,6,48
32712,2013-06-03,P,10,80
27997,2013-06-03,A,0,0
8904,2013-06-03,P,10,80
20144,2013-06-03,P,9,72
32719,2013-06-03,P,1,8
33981,2013-06-03,P,10,80
33982,2013-06-03,P,10,80
33983,2013-06-03,P,9,72
33984,2013-06-03,P,9,72
32861,2013-06-03,A,0,0
33985,2013-06-03,P,10,80
33986,2013-06-03,P,0,0
32708,2013-06-03,P,9,72
0,2013-06-03,P,9,72
16863,2013-04-05,A,0,0
9076,2013-04-05,P,0,0
29442,2013-04-05,P,1,49
32746,2013-04-05,P,0,0
27189,2013-04-05,P,0,0
15586,2013-04-05,P,0,0
9181,2013-04-05,P,0,0
32704,2013-04-05,P,0,0
27410,2013-04-05,P,1,49
27481,2013-04-05,P,0,0
32794,2013-04-05,P,1,49
22034,2013-04-05,P,0,0
33977,2013-04-05,P,0,0
